City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,hadibu,12.65,54.0333,24.93,84,13,0.35,YE,1728520491
129,happy valley-goose bay,53.3168,-60.3315,7.17,93,100,5.14,CA,1728520492
130,okhotsk,59.3833,143.3,1.57,47,100,1.04,RU,1728520493
131,yuzhno-kurilsk,44.0306,145.8556,13.06,68,58,6.81,RU,1728520494
132,gebeit,21.0667,36.3167,25.28,40,2,1.3,SD,1728520495
133,vila franca do campo,37.7167,-25.4333,22.23,94,47,4.09,PT,1728520497
134,kingston,17.997,-76.7936,29.53,74,20,4.12,JM,1728520499
135,formosa do rio preto,-11.0483,-45.1931,27.62,28,6,0.56,BR,1728520500
136,sur,22.5667,59.5289,27.1,64,0,2.81,OM,1728520502
137,dunedin,-45.8742,170.5036,12.11,56,6,1.34,NZ,1728520274
138,gokwe,-18.2048,28.9349,15.59,45,0,3.44,ZW,1728520504
139,kizhinga,51.8462,109.9097,2.05,44,100,1.2,RU,1728520505
140,birzebbuga,35.8258,14.5269,23.38,94,0,1.54,MT,1728520506
141,la passe,45.5549,-0.8967,15.27,83,8,7.18,FR,1728520507
142,kavieng,-2.5744,150.7967,28.94,72,13,0.83,PG,1728520508
143,okha,53.5739,142.9478,7.8,62,17,7.17,RU,1728520297
144,praia da vitoria,38.7333,-27.0667,23.14,94,40,3.31,PT,1728520510
145,enewetak,11.3474,162.3373,29.06,73,34,3.57,MH,1728520511
146,katsuura,35.1333,140.3,20.8,75,100,11.19,JP,1728520513
147,kawalu,-7.3817,108.2082,26.77,72,100,1.52,ID,1728520514
148,matoury,4.8483,-52.3317,25.98,83,0,0.51,GF,1728520515
149,segezha,63.7415,34.3222,2.68,69,100,11.41,RU,1728520335
150,wewak,-3.5534,143.6268,28.65,71,88,2.15,PG,1728520517
151,ceeldheer,3.8488,47.1806,24.22,87,95,7.03,SO,1728520518
152,sindirgi,39.2413,28.1784,18.39,57,79,2.34,TR,1728520519
153,tazacorte,28.629,-17.9293,22.54,83,0,2.24,ES,1728520521
154,constitucion,-35.3333,-72.4167,12.45,96,33,2.25,CL,1728520256
155,aktau,43.65,51.2,17.32,73,4,9.61,KZ,1728520523
156,rio grande,-32.035,-52.0986,17.02,75,100,8.52,BR,1728520227
157,kapa'a,22.0752,-159.319,29.18,77,75,8.23,US,1728520526
158,dzhangala,49.2167,50.3333,10.52,79,100,4.68,KZ,1728520527
159,paulden,34.8856,-112.4682,29.1,15,9,5.1,US,1728520528
160,kavaratti,10.5669,72.642,26.53,85,100,7.11,IN,1728520529
161,touros,-5.1989,-35.4608,24.92,77,33,4.88,BR,1728520530
162,nemuro,43.3236,145.575,13.04,67,12,8.67,JP,1728520531
163,college,64.8569,-147.8028,0.97,83,100,2.57,US,1728520532
164,kyabe,9.4515,18.9449,21.35,90,100,1.3,TD,1728520533
165,uturoa,-16.7333,-151.4333,25.82,81,100,8.85,PF,1728520534
166,ulsteinvik,62.3432,5.8487,5.07,90,100,0.45,NO,1728520536
167,numan,9.4667,12.0333,23.27,90,21,0.3,NG,1728520537
168,longyearbyen,78.2186,15.6401,0.91,64,75,10.8,SJ,1728520538
169,pionerskiy,54.9508,20.2275,10.91,90,100,5.92,RU,1728520539
170,hailun,47.45,126.9333,11.45,59,100,8.06,CN,1728520540
171,laojunmiao,39.8333,97.7333,9.31,42,0,0.67,CN,1728520541
172,hermanus,-34.4187,19.2345,16.1,94,100,2.14,ZA,1728520542
173,vadso,70.0744,29.7487,6.09,65,75,8.23,NO,1728520543
174,sisimiut,66.9395,-53.6735,1.99,82,100,2.76,GL,1728520272
175,lambari,-21.9756,-45.3503,19.21,75,100,3.18,BR,1728520545
176,alotau,-10.3069,150.4462,27.8,86,60,1.97,PG,1728520546
177,st. john's,47.5649,-52.7093,12.76,93,100,9.77,CA,1728520512
178,ribeira grande,38.5167,-28.7,20.99,86,1,1.34,PT,1728520548
179,selebi-phikwe,-21.979,27.8498,17.41,57,0,2.44,BW,1728520549
180,nieuw amsterdam,5.8833,-55.0833,27.01,78,20,1.03,SR,1728520550
181,moranbah,-22.0016,148.0466,27.98,48,13,1.27,AU,1728520551
182,cabeza del buey,38.7223,-5.2195,13.14,89,2,4.72,ES,1728520552
183,port alberni,49.2413,-124.8028,12.74,87,8,2.68,CA,1728520484
184,thamaga,-24.6701,25.5397,18.77,40,4,2.04,BW,1728520555
185,marsh harbour,26.5412,-77.0636,28.25,82,100,8.72,BS,1728520556
186,luau,-10.7073,22.2247,19.28,75,94,1.38,AO,1728520558
187,mount gambier,-37.8333,140.7667,14.8,49,4,4.11,AU,1728520559
188,enriquillo,17.9,-71.2333,26.18,89,99,1.61,DO,1728520560
189,suva,-18.1416,178.4415,27.71,78,75,4.63,FJ,1728520561
190,kununurra,-15.7667,128.7333,30.99,70,11,1.03,AU,1728520562
191,codrington,-38.2667,141.9667,14.38,57,0,6.64,AU,1728520563
192,thinadhoo,0.5333,72.9333,27.97,76,100,9.33,MV,1728520564
193,candeleda,40.1552,-5.2405,10.98,84,0,3.54,ES,1728520565
194,shalkar,47.8288,59.6258,13.38,77,55,5.27,KZ,1728520566
195,mirebalais,18.8333,-72.1053,27.1,77,99,0.63,HT,1728520567
196,babu,24.4167,111.5167,22.71,63,6,1.42,CN,1728520568
